Accession_number,sampling_date,collected_by,total_num_reads,num_reads_aligned_PF,avg_coverage_X,genomic_coordinates_0X_nt,genomic_coordinates_<10X_nt,genomic_coordinates_0X_pct,genomic_coordinates_<10X_pct,avg_read_quality,avg_read_quality_PF,avg_read_length,avg_read_length_PF,k2_hits_SC2,k2_hits_human,k2_hits_28384,k2_pct_SC2,k2_pct_human,k2_pct_28384,QC_determination,QC_issues
SRR17146301,2021-11-30,FDA Center for Food Safety and Applied Nutrition,66718,5853,120X,1191,3049,3,10,17.6,17.6,614,614,5834,205,0,8.74,0.31,0.00,not_performed,None
SRR17517918,2021-09-20,Missing,18118292,2355924,9926X,11786,12526,39,41,36.0,36.2,126,126,1562138,85908,220,17.24,0.95,0.00,not_performed,None
SRR17517919,2021-09-20,Missing,21460944,2786659,11835X,12523,13078,41,43,35.6,35.7,127,127,1850713,97593,186,17.25,0.91,0.00,not_performed,None
SRR17517920,2021-10-25,Missing,26616874,1207289,5167X,8298,9517,27,31,35.8,35.9,128,128,795918,51664,13,5.98,0.39,0.00,not_performed,None
SRR17517921,2021-10-25,Missing,26847348,3037747,12799X,7007,7602,23,25,35.9,36.0,126,126,2028995,130018,37,15.12,0.97,0.00,not_performed,None
SRR17540870,2022-01-04,FDA Center for Food Safety and Applied Nutrition,6456034,6139977,30594X,62,110,0,0,36.3,36.6,149,149,3208850,41,1,99.41,0.00,0.00,not_performed,None
SRR17540871,2022-01-04,FDA Center for Food Safety and Applied Nutrition,7239436,6922734,34494X,71,128,0,0,36.4,36.6,149,149,3605744,44,0,99.61,0.00,0.00,not_performed,None
SRR17540872,2021-12-28,FDA Center for Food Safety and Applied Nutrition,3687990,3498847,17433X,124,128,0,0,36.4,36.7,149,149,1818866,36,0,98.64,0.00,0.00,not_performed,None
SRR17540873,2021-12-28,FDA Center for Food Safety and Applied Nutrition,4459098,4220298,21028X,66,104,0,0,36.3,36.6,149,149,2208731,27,6,99.07,0.00,0.00,not_performed,None
SRR17540874,2021-12-21,FDA Center for Food Safety and Applied Nutrition,4736492,4430218,22074X,161,177,0,0,36.4,36.6,149,149,2324345,23,2,98.15,0.00,0.00,not_performed,None
SRR17540875,2021-12-21,FDA Center for Food Safety and Applied Nutrition,4762216,4438520,22116X,512,665,1,2,36.4,36.7,149,149,2322754,29,0,97.55,0.00,0.00,not_performed,None
SRR17540876,2021-12-14,FDA Center for Food Safety and Applied Nutrition,5418372,5028957,25058X,942,1499,3,5,36.4,36.7,149,149,2621962,32,1,96.78,0.00,0.00,not_performed,None
SRR17540877,2021-12-14,FDA Center for Food Safety and Applied Nutrition,7198668,5649533,28150X,381,597,1,1,36.4,36.7,149,149,2972487,347,44,82.58,0.01,0.00,not_performed,None
SRR17578348,2021-11-29,WAPHL,2000066,1608317,8013X,77,100,0,0,37.0,37.3,149,149,859342,5674,119480,85.93,0.57,11.95,not_performed,None
SRR17578349,2021-11-29,WAPHL,1966816,905658,4512X,1907,2939,6,9,37.3,37.5,149,149,528387,24880,278149,53.73,2.53,28.28,not_performed,None
SRR17578350,Not Collected,WAPHL,3617894,1565774,7801X,2225,4412,7,14,37.0,37.4,149,149,902781,48332,772323,49.91,2.67,42.69,not_performed,None
SRR17578351,Not Collected,WAPHL,2461534,629097,3134X,7674,12675,25,42,37.1,37.4,149,149,440202,50716,578288,35.77,4.12,46.99,not_performed,None
SRR17578352,2021-11-29,WAPHL,2506938,1067674,5319X,1485,3006,4,10,37.1,37.4,149,149,597924,17449,301545,47.70,1.39,24.06,not_performed,None
SRR17578353,2021-11-29,WAPHL,2800876,1866780,9301X,66,67,0,0,37.3,37.5,149,149,1016010,67238,30787,72.55,4.80,2.20,not_performed,None
SRR17578354,2021-11-29,WAPHL,2060830,1348446,6719X,81,106,0,0,37.2,37.5,149,149,735084,25801,218544,71.34,2.50,21.21,not_performed,None
SRR17578355,2021-11-29,WAPHL,2861192,1755198,8745X,306,381,1,1,37.3,37.5,149,149,956565,21566,341598,66.86,1.51,23.88,not_performed,None
SRR17654134,2021-10-25,FDA Center for Food Safety and Applied Nutrition,4637110,1990031,20031X,14140,16809,47,56,34.8,34.9,301,301,1592082,278664,140412,68.67,12.02,6.06,not_performed,None
SRR17654135,2021-10-25,FDA Center for Food Safety and Applied Nutrition,8667396,3979292,40055X,5065,7020,16,23,35.0,35.0,301,301,3214365,144588,603079,74.17,3.34,13.92,not_performed,None
SRR17654136,2021-09-20,FDA Center for Food Safety and Applied Nutrition,3498330,668189,6725X,23487,26376,78,88,35.0,35.1,301,301,597340,161682,812856,34.15,9.24,46.47,not_performed,None
SRR17654137,2021-09-20,FDA Center for Food Safety and Applied Nutrition,4310540,122,1X,23619,29837,78,99,30.7,31.8,301,301,156067,407815,207918,7.24,18.92,9.65,not_performed,None
SRR17654138,2021-10-25,FDA Center for Food Safety and Applied Nutrition,4351812,1147086,11546X,18684,21608,62,72,35.0,35.0,301,301,1042961,196677,64025,47.93,9.04,2.94,not_performed,None
SRR17654139,2021-10-25,FDA Center for Food Safety and Applied Nutrition,3872522,815819,8211X,18185,21227,60,70,34.9,34.9,301,301,723227,239827,50017,37.35,12.39,2.58,not_performed,None
SRR17654140,2021-09-20,FDA Center for Food Safety and Applied Nutrition,4613648,141,1X,20904,29858,69,99,30.9,31.7,301,301,159443,267954,959392,6.91,11.62,41.59,not_performed,None
SRR17654141,2021-09-20,FDA Center for Food Safety and Applied Nutrition,7018478,297610,2995X,20029,29256,66,97,34.8,34.9,301,301,447612,491714,950605,12.76,14.01,27.09,not_performed,None
SRR17657410,2021-10-25,FDA Center for Food Safety and Applied Nutrition,3126572,2173372,10829X,139,161,0,0,36.4,36.9,149,149,1235108,1556,234873,79.01,0.10,15.02,not_performed,None
SRR17657411,2021-10-25,FDA Center for Food Safety and Applied Nutrition,5226076,4102804,20443X,64,67,0,0,36.2,36.8,149,149,2287113,545,285971,87.53,0.02,10.94,not_performed,None
SRR17657412,2021-09-20,FDA Center for Food Safety and Applied Nutrition,3933092,1731531,8627X,2104,3201,7,10,36.1,36.7,149,149,1020581,3110,647184,51.90,0.16,32.91,not_performed,None
SRR17657413,2021-09-20,FDA Center for Food Safety and Applied Nutrition,3475400,1817449,9055X,6115,7443,20,24,36.2,36.8,149,149,1158890,4520,300812,66.69,0.26,17.31,not_performed,None
SRR17657414,2021-10-25,FDA Center for Food Safety and Applied Nutrition,2898858,1453536,7242X,432,523,1,1,36.4,36.9,149,149,835861,2402,313088,57.67,0.17,21.60,not_performed,None
SRR17657415,2021-10-25,FDA Center for Food Safety and Applied Nutrition,6018986,5195341,25887X,66,67,0,0,36.5,36.9,149,149,2820864,718,165261,93.73,0.02,5.49,not_performed,None
SRR17657416,2021-09-20,FDA Center for Food Safety and Applied Nutrition,2449710,991665,4941X,4975,6326,16,21,36.2,36.8,149,149,643463,2093,343848,52.53,0.17,28.07,not_performed,None
SRR17657417,2021-09-20,FDA Center for Food Safety and Applied Nutrition,3562054,1294743,6451X,5438,7469,18,24,36.3,36.9,149,149,955308,7765,576049,53.64,0.44,32.34,not_performed,None
SRR17676235,2021-10-25,FDA Center for Food Safety and Applied Nutrition,7292848,4265852,10556X,7326,10267,24,34,36.8,37.0,74,74,2197309,326,1,60.26,0.01,0.00,not_performed,None
SRR17676236,2021-10-25,FDA Center for Food Safety and Applied Nutrition,8369660,5843824,14461X,3813,5408,12,18,36.8,37.0,74,74,3017592,700,0,72.11,0.02,0.00,not_performed,None
SRR17676237,2021-09-20,FDA Center for Food Safety and Applied Nutrition,4997294,106155,262X,25702,28325,85,94,36.8,37.0,74,74,54683,57,0,2.19,0.00,0.00,not_performed,None
SRR17676238,2021-09-20,FDA Center for Food Safety and Applied Nutrition,5224670,77,0X,25260,29903,84,100,31.5,33.9,72,73,195,110,0,0.01,0.00,0.00,not_performed,None
SRR17676239,2021-10-25,FDA Center for Food Safety and Applied Nutrition,2850842,41,0X,27527,29903,92,100,32.4,34.3,69,67,67,29,0,0.00,0.00,0.00,not_performed,None
SRR17676240,2021-10-25,FDA Center for Food Safety and Applied Nutrition,6310378,3336702,8257X,12672,16371,42,54,36.7,36.9,74,74,1728823,459,0,54.79,0.01,0.00,not_performed,None
SRR17676241,2021-09-20,FDA Center for Food Safety and Applied Nutrition,6464622,414909,1026X,20591,26752,68,89,36.7,37.0,74,74,214884,2143,0,6.65,0.07,0.00,not_performed,None
SRR17676242,2021-09-20,FDA Center for Food Safety and Applied Nutrition,4459098,70,0X,25780,29903,86,100,31.3,33.6,73,73,147,214,0,0.01,0.01,0.00,not_performed,None
SRR17688887,2021-10-25,FDA Center for Food Safety and Applied Nutrition,5003164,3696979,9396X,16402,17931,54,59,36.8,37.0,76,76,2244387,163,42303,89.72,0.01,1.69,not_performed,None
SRR17688888,2021-10-25,FDA Center for Food Safety and Applied Nutrition,18043914,14391125,36575X,9845,11951,32,39,36.9,37.1,76,76,8701089,214,130675,96.44,0.00,1.45,not_performed,None
SRR17688889,2021-09-20,FDA Center for Food Safety and Applied Nutrition,8181620,2452935,6234X,23409,27485,78,91,36.9,37.1,76,76,1449322,3265,132769,35.43,0.08,3.25,not_performed,None
SRR17688890,2021-09-20,FDA Center for Food Safety and Applied Nutrition,5651108,77,0X,25647,29903,85,100,32.5,33.7,76,76,402,4974,2630,0.01,0.18,0.09,not_performed,None
SRR17688891,2021-10-25,FDA Center for Food Safety and Applied Nutrition,5287778,4394947,11169X,17414,18876,58,63,36.9,37.1,76,76,2519990,98,20963,95.31,0.00,0.79,not_performed,None
SRR17688892,2021-10-25,FDA Center for Food Safety and Applied Nutrition,7067456,5807604,14760X,14505,16456,48,55,36.9,37.0,76,76,3409379,237,42452,96.48,0.01,1.20,not_performed,None
SRR17688893,2021-09-20,FDA Center for Food Safety and Applied Nutrition,6355728,105,0X,24223,29903,81,100,31.5,34.0,76,76,10889,4532,217375,0.34,0.14,6.84,not_performed,None
SRR17688894,2021-09-20,FDA Center for Food Safety and Applied Nutrition,6521086,164343,417X,26132,29588,87,98,36.9,37.1,76,76,109695,2653,100071,3.36,0.08,3.07,not_performed,None
SRR17691854,2022-01-11,FDA Center for Food Safety and Applied Nutrition,15239568,2905474,14380X,66,67,0,0,36.9,37.0,148,148,1790353,14269,15868,23.50,0.19,0.21,not_performed,None
SRR17691855,2022-01-11,FDA Center for Food Safety and Applied Nutrition,12590010,10800054,53814X,67,72,0,0,36.9,37.1,149,149,5656891,1625,1008,89.86,0.03,0.02,not_performed,None
SRR17691856,2022-01-11,FDA Center for Food Safety and Applied Nutrition,16449286,7374721,36499X,65,131,0,0,36.8,37.0,148,148,4200519,10399,507,51.07,0.13,0.01,not_performed,None
SRR17691857,2022-01-11,FDA Center for Food Safety and Applied Nutrition,13340938,11096538,54920X,65,67,0,0,36.8,37.0,148,148,5911211,2142,9021,88.62,0.03,0.14,not_performed,None
SRR17720373,2021-10-25,FDA Center for Food Safety and Applied Nutrition,3328760,3251201,24028X,60,95,0,0,37.5,37.6,221,221,1658612,60,0,99.65,0.00,0.00,not_performed,None
SRR17720374,2021-10-25,FDA Center for Food Safety and Applied Nutrition,3861006,3726413,27789X,55,98,0,0,37.3,37.5,223,223,1924335,73,0,99.68,0.00,0.00,not_performed,None
SRR17720375,2021-09-20,FDA Center for Food Safety and Applied Nutrition,2901752,1273201,8515X,10249,18231,34,60,37.2,37.4,200,200,655529,3043,446,45.18,0.21,0.03,not_performed,None
SRR17720376,2021-09-20,FDA Center for Food Safety and Applied Nutrition,3832118,3576187,25353X,7097,9325,23,31,37.6,37.7,212,212,1823098,585,37,95.15,0.03,0.00,not_performed,None
SRR17721362,2022-01-04,FDA Center for Food Safety and Applied Nutrition,515100,169653,3409X,5,873,0,2,20.6,20.6,601,601,175699,15873,62,34.11,3.08,0.01,not_performed,None
SRR17721363,2022-01-04,FDA Center for Food Safety and Applied Nutrition,469628,229488,4489X,289,1004,0,3,20.7,20.7,585,585,228451,12181,3,48.65,2.59,0.00,not_performed,None
SRR17721364,2021-12-28,FDA Center for Food Safety and Applied Nutrition,484126,114006,2375X,296,1210,0,4,20.6,20.6,623,623,119269,14415,4,24.64,2.98,0.00,not_performed,None
SRR17721365,2021-12-28,FDA Center for Food Safety and Applied Nutrition,355433,98482,1992X,647,1112,2,3,20.5,20.5,605,605,99647,10251,323,28.04,2.88,0.09,not_performed,None
SRR17721366,2022-01-04,FDA Center for Food Safety and Applied Nutrition,7083498,343352,2985X,469,2163,1,7,32.0,32.1,259,260,776477,3974,87,21.92,0.11,0.00,not_performed,None
SRR17721367,2022-01-04,FDA Center for Food Safety and Applied Nutrition,4861734,594937,5630X,817,2230,2,7,31.5,31.6,282,283,1270972,1590,35,52.28,0.07,0.00,not_performed,None
SRR17721368,2021-12-28,FDA Center for Food Safety and Applied Nutrition,9123908,448775,4037X,930,2206,3,7,31.8,31.9,269,269,967593,5533,97,21.21,0.12,0.00,not_performed,None
SRR17721369,2021-12-28,FDA Center for Food Safety and Applied Nutrition,3465302,335300,3218X,1389,4162,4,13,31.4,31.4,286,287,738399,1231,264,42.62,0.07,0.02,not_performed,None
SRR17721553,2022-01-04,FDA Center for Food Safety and Applied Nutrition,131082,38706,938X,96,4786,0,16,20.8,20.8,725,725,43620,4810,0,33.28,3.67,0.00,not_performed,None
SRR17721554,2022-01-04,FDA Center for Food Safety and Applied Nutrition,173520,22919,730X,21,113,0,0,20.6,20.6,953,953,29682,6455,0,17.11,3.72,0.00,not_performed,None
SRR17721555,2021-12-28,FDA Center for Food Safety and Applied Nutrition,160891,21761,619X,2033,14429,6,48,21.0,21.0,851,851,28191,8223,0,17.52,5.11,0.00,not_performed,None
SRR17721556,2021-12-28,FDA Center for Food Safety and Applied Nutrition,150925,11358,411X,5374,11221,17,37,20.7,20.7,1083,1083,17848,6253,0,11.83,4.14,0.00,not_performed,None
SRR17724289,2021-12-19,Nevada State Public Health Laboratory,184396,9882,24X,15124,21350,50,71,35.5,35.7,74,74,5494,82,0,5.96,0.09,0.00,not_performed,None
SRR17724290,2021-12-18,Nevada State Public Health Laboratory,228634,56553,139X,2850,8342,9,27,35.5,35.7,74,74,31313,315,0,27.39,0.28,0.00,not_performed,None
SRR17724291,2021-12-17,Nevada State Public Health Laboratory,320098,245463,607X,53,511,0,1,35.3,35.6,74,74,137142,87,0,85.69,0.05,0.00,not_performed,None
SRR17724292,2021-12-16,Nevada State Public Health Laboratory,283408,155459,384X,1026,3564,3,11,35.5,35.8,74,74,85648,420,0,60.44,0.30,0.00,not_performed,None
SRR17724293,2021-12-15,Nevada State Public Health Laboratory,344184,213307,527X,277,2159,0,7,35.5,35.8,74,74,117868,1409,0,68.49,0.82,0.00,not_performed,None
SRR17724294,2021-12-14,Nevada State Public Health Laboratory,368648,303513,751X,44,81,0,0,35.3,35.6,74,74,169629,109,0,92.03,0.06,0.00,not_performed,None
SRR17724295,2021-12-13,Nevada State Public Health Laboratory,320674,119420,295X,1776,6414,5,21,35.5,35.8,74,74,65718,1132,0,40.99,0.71,0.00,not_performed,None
SRR17724296,2021-09-23,Nevada State Public Health Laboratory,911236,26851,66X,7902,14948,26,49,35.9,36.1,74,74,14762,610,1,3.24,0.13,0.00,not_performed,None
SRR17724297,2021-12-12,Nevada State Public Health Laboratory,758734,185255,458X,596,2553,1,8,35.1,35.4,74,74,103211,2274,0,27.21,0.60,0.00,not_performed,None
SRR17724298,2021-12-11,Nevada State Public Health Laboratory,1038732,753650,1865X,72,496,0,1,35.0,35.3,74,74,422288,744,0,81.31,0.14,0.00,not_performed,None
SRR17724299,2021-12-10,Nevada State Public Health Laboratory,1228748,1021922,2528X,55,93,0,0,34.9,35.2,74,74,575129,2175,0,93.61,0.35,0.00,not_performed,None
SRR17724300,2021-12-08,Nevada State Public Health Laboratory,441228,6269,15X,19342,22971,64,76,34.7,35.1,74,74,3709,1617,0,1.68,0.73,0.00,not_performed,None
SRR17724301,2021-12-07,Nevada State Public Health Laboratory,716246,142171,351X,1071,3355,3,11,34.9,35.2,74,74,79701,41074,0,22.26,11.47,0.00,not_performed,None
SRR17724302,2021-12-06,Nevada State Public Health Laboratory,1217594,1003921,2484X,64,233,0,0,35.0,35.3,74,74,558992,525,0,91.82,0.09,0.00,not_performed,None
SRR17724303,2021-12-05,Nevada State Public Health Laboratory,957164,411448,1018X,643,2145,2,7,35.1,35.4,74,74,229260,2089,0,47.90,0.44,0.00,not_performed,None
SRR17724304,2021-12-04,Nevada State Public Health Laboratory,673692,8487,21X,18466,21255,61,71,35.0,35.3,74,74,4892,12404,0,1.45,3.68,0.00,not_performed,None
SRR17724305,2021-12-03,Nevada State Public Health Laboratory,681108,8857,21X,18606,21064,62,70,35.1,35.4,74,74,5113,2633,0,1.50,0.77,0.00,not_performed,None
SRR17724306,2021-12-02,Nevada State Public Health Laboratory,536726,7627,18X,17652,21474,59,71,35.0,35.3,74,74,4336,1971,0,1.62,0.73,0.00,not_performed,None
SRR17724307,2021-09-22,Nevada State Public Health Laboratory,794680,22863,56X,8327,15009,27,50,35.9,36.1,74,74,12632,456,0,3.18,0.11,0.00,not_performed,None
SRR17724308,2021-12-01,Nevada State Public Health Laboratory,590366,24239,59X,9003,14170,30,47,34.9,35.3,74,74,13807,2359,0,4.68,0.80,0.00,not_performed,None
SRR17724309,2021-11-30,Nevada State Public Health Laboratory,1319956,909834,2251X,53,620,0,2,35.0,35.4,74,74,510030,1214,0,77.28,0.18,0.00,not_performed,None
SRR17724310,2021-11-29,Nevada State Public Health Laboratory,1217730,856092,2118X,69,443,0,1,35.0,35.3,74,74,478120,1755,0,78.53,0.29,0.00,not_performed,None
SRR17724311,2021-11-06,Nevada State Public Health Laboratory,22754806,3403778,14456X,10306,10970,34,36,35.5,35.6,127,127,2230730,82333,106,19.61,0.72,0.00,not_performed,None
SRR17724312,2021-11-05,Nevada State Public Health Laboratory,21944482,2139976,9088X,7909,8741,26,29,35.7,35.8,127,127,1409960,92061,5835,12.85,0.84,0.05,not_performed,None
SRR17724313,2021-11-04,Nevada State Public Health Laboratory,27957584,1379399,5904X,4008,4723,13,15,35.8,35.9,128,128,899974,48511,30,6.44,0.35,0.00,not_performed,None
SRR17724314,2021-11-03,Nevada State Public Health Laboratory,31402356,1107220,4702X,11007,11605,36,38,35.7,36.0,127,127,743503,53471,2,4.74,0.34,0.00,not_performed,None
SRR17724315,2021-11-02,Nevada State Public Health Laboratory,20609446,1740170,7390X,9362,10269,31,34,35.9,36.1,127,127,1152680,83027,8,11.19,0.81,0.00,not_performed,None
SRR17724316,2021-09-19,Nevada State Public Health Laboratory,549280,30128,74X,14853,17990,49,60,35.9,36.1,74,74,16644,1228,0,6.06,0.45,0.00,not_performed,None
SRR17724317,2021-11-01,Nevada State Public Health Laboratory,15759566,1253964,5367X,13445,14094,44,47,35.9,36.0,128,128,821362,42033,1135,10.42,0.53,0.01,not_performed,None
SRR17724318,2021-10-31,Nevada State Public Health Laboratory,28487136,748055,3202X,3027,3566,10,11,36.0,36.1,128,128,487575,34227,927,3.42,0.24,0.01,not_performed,None
SRR17724319,2021-10-30,Nevada State Public Health Laboratory,14865188,1207640,5088X,11662,12461,38,41,35.9,36.1,126,126,802735,61834,90,10.80,0.83,0.00,not_performed,None
SRR17724320,2021-10-29,Nevada State Public Health Laboratory,18928660,2362021,10031X,11933,12677,39,42,36.0,36.2,127,127,1566415,86731,20,16.55,0.92,0.00,not_performed,None
SRR17724321,2021-10-28,Nevada State Public Health Laboratory,28980702,3204677,13610X,7121,7826,23,26,35.9,36.0,127,127,2107026,53241,51,14.54,0.37,0.00,not_performed,None
SRR17724322,2021-10-27,Nevada State Public Health Laboratory,34065400,1429507,6071X,6785,7954,22,26,35.9,36.1,127,127,942575,72408,246,5.53,0.43,0.00,not_performed,None
SRR17724323,2021-10-26,Nevada State Public Health Laboratory,31682420,882007,3745X,4056,4469,13,14,35.9,36.0,127,127,582390,45917,77,3.68,0.29,0.00,not_performed,None
SRR17724324,2021-10-25,Nevada State Public Health Laboratory,35457806,767175,3258X,7878,9384,26,31,35.9,36.1,128,127,503121,29550,2,2.84,0.17,0.00,not_performed,None
SRR17724325,2021-10-24,Nevada State Public Health Laboratory,23947150,1100933,4675X,6167,6683,20,22,35.8,36.0,127,127,726474,50809,314,6.07,0.42,0.00,not_performed,None
SRR17724326,2021-10-23,Nevada State Public Health Laboratory,26247538,1733515,7362X,3838,4437,12,14,35.9,36.1,128,127,1132567,28291,13,8.63,0.22,0.00,not_performed,None
SRR17724327,2021-09-18,Nevada State Public Health Laboratory,616768,169245,418X,8449,9877,28,33,35.9,36.0,74,74,92739,1338,0,30.07,0.43,0.00,not_performed,None
SRR17724328,2021-10-22,Nevada State Public Health Laboratory,21780308,2414051,10252X,9576,10178,32,34,35.8,36.0,127,127,1588866,73966,256,14.59,0.68,0.00,not_performed,None
