Run	Assay Type	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center Name	collected_by	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name	Instrument	Isolation_source	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	version	sample_acc	Sample Name	SRA Study	ww_population	ww_sample_duration	ww_sample_matrix	ww_sample_type	ww_surv_target_1_known_present	ww_surv_target_1	purpose_of_ww_sampling	concentration_method	ww_sample_site	collection_site_id	project_name	ww_flow	Extraction-method	ww_surv_target_1_conc_unit	enrichment_kit (run)	amplicon_size (run)	dehosting_method (run)	ww_surv_target_1_protocol	ww_surv_target_1_gene	ww_surv_target_1_conc	extraction_control	sequenced_by	ww_temperature	purpose_of_ww_sequencing	collection_volume	ww_surv_target_2_conc	ww_surv_target_2_conc_unit	ww_surv_target_2_gene	ww_surv_target_2	Collection_time	ww_surv_target_2_known_present	ww_surv_jurisdiction	ww_population_source	ww_pre_treatment	ww_endog_control_1	instantaneous_flow	ww_ph	ww_total_suspended_solids	ww_endog_control_1_protocol	ww_industrial_effluent_percent	specimen_processing
SRR24156522	AMPLICON	298	PRJNA907019	SAMN34168841	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2023-03-30	public	"fastq,activ_sars2_vcf,run.zq,sra"	"ncbi,gs,s3"	"s3.us-east-1,ncbi.public,gs.US"	SRX19954547	USA: Washington	Illumina MiSeq	wastewater	WA0919684-WW076-M4796-230411	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2023-04-13T00:00:00Z	1	SRS17302269	WA0919684	SRP410879	35550	Not Collected	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0023949	CDC NWSS	3.1	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	5557755	OC43 Recovery Control	Washington State Department of Health	3.2	Community Surveillance	50 mL	5171964	Copies/L	N gene (N2)	SARS-CoV-2	07:18	yes			No		See ww_flow	Not Collected	Not Collected		50	
SRR24156523	AMPLICON	298	PRJNA907019	SAMN34168840	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2023-03-30	public	"sra,run.zq,fastq,activ_sars2_vcf"	"s3,ncbi,gs"	"ncbi.public,s3.us-east-1,gs.US"	SRX19954546	USA: Washington	Illumina MiSeq	wastewater	WA0919683-WW076-M4796-230411	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2023-04-13T00:00:00Z	1	SRS17302270	WA0919683	SRP410879	2323	7	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0021008	CDC NWSS	0.17	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	7985126	OC43 Recovery Control	Washington State Department of Health	4	Community Surveillance	50 mL	8022471	Copies/L	N gene (N2)	SARS-CoV-2	01:00	yes			No		See ww_flow	Not Collected	Not Collected		0	
SRR22490038	AMPLICON	298	PRJNA907019	SAMN31976406	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2022-11-17	public	"sra,activ_sars2_vcf,run.zq,fastq"	"s3,gs,ncbi"	"s3.us-east-1,ncbi.public,gs.US"	SRX18455206	USA: Washington	Illumina MiSeq	wastewater	WA0885027-WW054-M5916-221128	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2022-12-01T00:00:00Z	1	SRS15933806	WA0885027	SRP410879	15000	2	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0051063	CDC NWSS	0.826	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	2810752	OC43 Recovery Control	Washington State Department of Health	10.9	Community Surveillance	50 mL	3237395	Copies/L	N gene (N2)	SARS-CoV-2	09:55	yes			No		See ww_flow	Not Collected	Not Collected		1	
SRR22490039	AMPLICON	298	PRJNA907019	SAMN31976405	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2022-11-17	public	"sra,run.zq,fastq,activ_sars2_vcf"	"s3,ncbi,gs"	"s3.us-east-1,gs.US,ncbi.public"	SRX18455205	USA: Washington	Illumina MiSeq	wastewater	WA0885025-WW054-M5916-221128	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2022-12-01T00:00:00Z	1	SRS15933805	WA0885025	SRP410879	43300	Not Collected	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0037168	CDC NWSS	Not Collected	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	9464326	OC43 Recovery Control	Washington State Department of Health	6.2	Community Surveillance	50 mL	10243250	Copies/L	N gene (N2)	SARS-CoV-2	03:24	yes			No		See ww_flow	Not Collected	Not Collected		20	
SRR22490040	AMPLICON	298	PRJNA907019	SAMN31976404	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2022-11-17	public	"run.zq,activ_sars2_vcf,fastq,sra"	"s3,gs,ncbi"	"gs.US,ncbi.public,s3.us-east-1"	SRX18455204	USA: Washington	Illumina MiSeq	wastewater	WA0885024-WW054-M5916-221128	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2022-12-01T00:00:00Z	1	SRS15933804	WA0885024	SRP410879	2323	7	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0021008	CDC NWSS	0.167	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	5774111	OC43 Recovery Control	Washington State Department of Health	4	Community Surveillance	50 mL	5925404	Copies/L	N gene (N2)	SARS-CoV-2	01:00	yes			No		See ww_flow	Not Collected	Not Collected		0	
SRR22490041	AMPLICON	298	PRJNA907019	SAMN31976403	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2022-11-17	public	"activ_sars2_vcf,sra,fastq,run.zq"	"gs,s3,ncbi"	"s3.us-east-1,gs.US,ncbi.public"	SRX18455203	USA: Washington	Illumina MiSeq	wastewater	WA0885023-WW054-M5916-221128	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2022-12-01T00:00:00Z	1	SRS15933803	WA0885023	SRP410879	33000	5	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0024627	CDC NWSS	Not Collected	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	2235916	OC43 Recovery Control	Washington State Department of Health	3.5	Community Surveillance	50 mL	2341627	Copies/L	N gene (N2)	SARS-CoV-2	08:45	yes			No		See ww_flow	Not Collected	Not Collected		6.9	
SRR22490042	AMPLICON	298	PRJNA907019	SAMN31976402	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2022-11-18	public	"activ_sars2_vcf,fastq,run.zq,sra"	"ncbi,gs,s3"	"ncbi.public,gs.US,s3.us-east-1"	SRX18455202	USA: Washington	Illumina MiSeq	wastewater	WA0885022-WW054-M5916-221128	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2022-12-01T00:00:00Z	1	SRS15933802	WA0885022	SRP410879	83000	6	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0044784	CDC NWSS	5.5	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	5855172	OC43 Recovery Control	Washington State Department of Health	3.8	Community Surveillance	50 mL	4958803	Copies/L	N gene (N2)	SARS-CoV-2	07:00	yes			No		See ww_flow	Not Collected	Not Collected		3	
SRR22490043	AMPLICON	298	PRJNA907019	SAMN31976401	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2022-11-18	public	"sra,activ_sars2_vcf,fastq,run.zq"	"ncbi,gs,s3"	"ncbi.public,gs.US,s3.us-east-1"	SRX18455201	USA: Washington	Illumina MiSeq	wastewater	WA0885021-WW054-M5916-221128	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2022-12-01T00:00:00Z	1	SRS15933801	WA0885021	SRP410879	73000	Not Collected	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0044962	CDC NWSS	4.51	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	8090050	OC43 Recovery Control	Washington State Department of Health	5.9	Community Surveillance	50 mL	8212132	Copies/L	N gene (N2)	SARS-CoV-2	07:00	yes			No		See ww_flow	7.51	239		9	
SRR22490044	AMPLICON	298	PRJNA907019	SAMN31976400	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2022-11-18	public	"sra,run.zq,activ_sars2_vcf,fastq"	"s3,ncbi,gs"	"gs.US,ncbi.public,s3.us-east-1"	SRX18455200	USA: Washington	Illumina MiSeq	wastewater	WA0885020-WW054-M5916-221128	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2022-12-01T00:00:00Z	1	SRS15933800	WA0885020	SRP410879	35812	5.5	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0044652	CDC NWSS	4	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	11116975	OC43 Recovery Control	Washington State Department of Health	Not Collected	Community Surveillance	50 mL	13503851	Copies/L	N gene (N2)	SARS-CoV-2	07:08	yes			No		See ww_flow	Not Collected	Not Collected		0	
SRR22490045	AMPLICON	298	PRJNA907019	SAMN31976399	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2022-11-03	public	"sra,activ_sars2_vcf,fastq,run.zq"	"s3,gs,ncbi"	"gs.US,s3.us-east-1,ncbi.public"	SRX18455199	USA: Washington	Illumina MiSeq	wastewater	WA0881068-WW054-M5916-221128	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2022-12-01T00:00:00Z	1	SRS15933799	WA0881068	SRP410879	295855	04:15	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0039624	CDC NWSS	17.9	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	9656134	OC43 Recovery Control	Washington State Department of Health	Not Collected	Community Surveillance	50 mL	10438293	Copies/L	N gene (N2)	SARS-CoV-2	08:00	yes			No		See ww_flow	Not Collected	Not Collected		5	
SRR22490046	AMPLICON	298	PRJNA907019	SAMN31976410	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2022-11-16	public	"run.zq,activ_sars2_vcf,sra,fastq"	"ncbi,s3,gs"	"s3.us-east-1,gs.US,ncbi.public"	SRX18455198	USA: Washington	Illumina MiSeq	wastewater	WA0885031-WW054-M5916-221128	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2022-12-01T00:00:00Z	1	SRS15933798	WA0885031	SRP410879	117072	8	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA002402	CDC NWSS	8.21	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	6153316	OC43 Recovery Control	Washington State Department of Health	3.33	Community Surveillance	50 mL	5623168	Copies/L	N gene (N2)	SARS-CoV-2	03:00	yes			No		See ww_flow	7.05	384		6	
SRR22490047	AMPLICON	298	PRJNA907019	SAMN31976409	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2022-11-18	public	"sra,run.zq,fastq,activ_sars2_vcf"	"gs,s3,ncbi"	"ncbi.public,s3.us-east-1,gs.US"	SRX18455197	USA: Washington	Illumina MiSeq	wastewater	WA0885030-WW054-M5916-221128	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2022-12-01T00:00:00Z	1	SRS15933797	WA0885030	SRP410879	120000	24	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0093317	CDC NWSS	7.1	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	12014185	OC43 Recovery Control	Washington State Department of Health	4.4	Community Surveillance	50 mL	11214438	Copies/L	N gene (N2)	SARS-CoV-2	09:00	yes			No		See ww_flow	Not Collected	Not Collected		10	
SRR22490048	AMPLICON	298	PRJNA907019	SAMN31976408	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2022-11-18	public	"run.zq,sra,fastq,activ_sars2_vcf"	"s3,ncbi,gs"	"s3.us-east-1,gs.US,ncbi.public"	SRX18455196	USA: Washington	Illumina MiSeq	wastewater	WA0885029-WW054-M5916-221128	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2022-12-01T00:00:00Z	1	SRS15933796	WA0885029	SRP410879	295855	5	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0039624	CDC NWSS	18.1	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	21028685	OC43 Recovery Control	Washington State Department of Health	na	Community Surveillance	50 mL	22575766	Copies/L	N gene (N2)	SARS-CoV-2	08:00	yes			No		See ww_flow	Not Collected	Not Collected		5	
